census_block_group,population,elderly_percentage,income,affected_one_ring,Yi_avg_loss_ratio,relief_m,area_km2,road_density_km_per_km2,population_density,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,zero_vehicle_rate
060374021013,1526.0,15.3342,73827,0,0.0,26.63034058,0.4251075,28.78612994,3589.680254,-117.7342934,34.08274417,209077.5677,-434490.0184,0.0491803278688524
060374021021,2966.0,10.5529,93051,0,-1.333333333,37.8621521,1.294971529,10.25185448,2290.397845,-117.7426746,34.08845212,208289.229,-433875.4485,0.0
060374021022,2378.0,11.6064,121250,0,-0.25,29.59686279,1.003202211,17.81457823,2370.409449,-117.7481477,34.08074539,207804.6103,-434742.1451,0.0
060374022001,2161.0,15.5021,93606,0,0.173051948,40.72418213,0.999828775,14.34670817,2161.370081,-117.7542167,34.08695008,207228.3627,-434067.3195,0.0
060374022002,3402.0,20.5173,81772,0,0.708333333,71.35290527,1.111367452,21.45268324,3061.093786,-117.7597671,34.07520199,206747.0873,-435382.3146,0.0447928331466965
060374022003,1518.0,30.3689,92321,0,-0.15,106.6011505,4.247689273,8.571838067,357.3707733,-117.7712889,34.082775,205664.2091,-434567.518,0.0
060374023011,2596.0,10.4777,111250,0,0.5,29.93223572,0.82463438,17.45015814,3148.061811,-117.7708925,34.0695046,205735.3922,-436038.3596,0.0997375328083989
060374023031,1675.0,11.0448,56439,0,-1.354166667,23.85861206,0.375903297,17.06404794,4455.933253,-117.7530793,34.06723289,207385.1232,-436251.4812,0.0
060374023032,946.0,12.8964,68750,0,1.0,6.882324219,0.211482716,17.91170929,4473.178793,-117.7575912,34.06429967,206976.4615,-436586.6331,0.1584507042253521
060374023033,1343.0,10.7223,79032,0,0.166666667,22.49905396,0.356901052,18.88928918,3762.947721,-117.7578902,34.06869311,206937.345,-436100.0558,0.0471204188481675
060374023041,1847.0,7.4174,48173,0,0.424495342,12.45629883,0.323865163,16.09544241,5702.990669,-117.7690322,34.06294575,205924.1747,-436761.6951,0.1593406593406593
060374023042,2251.0,4.6646,54911,0,-1.583333333,11.25965881,0.373496099,13.16490984,6026.836705,-117.7630084,34.06063239,206486.135,-437005.144,0.0764925373134328
060374024031,1226.0,4.5677,83964,0,1.0,10.64752197,0.255804333,18.67254353,4792.725704,-117.7984967,34.05901155,203215.1452,-437261.5722,0.0
060374024041,2088.0,0.0,151808,0,0.554761905,112.111557,4.090894408,10.55640716,510.401832,-117.8199724,34.05578589,201241.3559,-437665.1055,0.0
060374024051,827.0,11.7291,87283,0,-0.166666667,11.24134827,0.229288078,19.76377968,3606.816407,-117.7905591,34.06428489,203934.0806,-436659.7156,0.0391304347826087
060374024052,1377.0,13.8707,74464,0,1.0,49.76852417,0.784493806,25.60069976,1755.271984,-117.7940778,34.06842335,203598.6795,-436208.3215,0.0282485875706214
060374024061,1303.0,12.1259,42765,0,0.083333333,9.383483887,0.244906698,13.77203221,5320.393482,-117.7813242,34.0627888,204790.2018,-436805.7265,0.141025641025641
060374024062,1154.0,3.4662,94375,0,0.666666667,13.6927948,0.400531047,11.5408644,2881.174902,-117.7825995,34.06563555,204665.126,-436492.7752,0.0607476635514018
060374025011,1634.0,14.1983,54688,0,0.35,9.463302612,0.391683511,17.7712816,4171.735482,-117.7640522,34.05653676,206400.5227,-437461.6168,0.1118421052631579
060374025012,3234.0,12.1831,51757,0,-0.777777778,11.59185791,0.624237566,13.98378357,5180.719928,-117.7645708,34.05287929,206362.2279,-437868.3517,0.1860465116279069
060374027021,1833.0,0.8729,39792,0,0.229166667,19.70498657,0.465346916,10.78394536,3938.996775,-117.7212028,34.06370366,210336.0912,-436572.6456,0.187122736418511
060374027022,705.0,13.4752,75909,0,1.0,7.487915039,0.201185121,16.61688595,3504.235294,-117.7270879,34.06471349,209790.3052,-436473.6964,0.0294117647058823
060374027023,900.0,8.0,28393,0,0.579166667,15.89743042,0.454177234,12.37013588,1981.60527,-117.7305413,34.06115243,209481.0742,-436876.2485,0.025
060374027024,1580.0,3.038,55000,0,0.888888889,10.40808105,0.377785782,14.69523972,4182.264332,-117.733488,34.06554465,209197.4826,-436395.6646,0.0585683297180043
060374027051,936.0,11.6453,93100,0,1.0,9.794342041,0.350762451,16.47315198,2668.472627,-117.7306702,34.06918592,209447.8498,-435985.6308,0.0
060374027052,2594.0,13.8396,100865,0,0.0,14.02005005,0.514745408,16.43905309,5039.384445,-117.7315079,34.07342161,209359.3071,-435517.7461,0.0212443095599393
060374027061,1341.0,15.8091,76518,0,0.0,12.36175537,0.427928066,17.72224104,3133.704252,-117.7211509,34.06892862,210326.9531,-435993.0914,0.1039603960396039
060374027063,1110.0,16.7568,76136,0,0.0,12.92581177,0.36114077,15.67637072,3073.593716,-117.7227679,34.07338052,210165.8764,-435502.9657,0.039647577092511
060374028011,2399.0,4.6686,50355,0,-1.083333333,18.15704346,1.251373751,8.56829172,1917.093113,-117.7287748,34.05586595,209658.1415,-437458.6016,0.0918918918918919
060374028012,1274.0,7.2998,84673,0,0.5,10.55361938,0.324488405,17.52422294,3926.180355,-117.739122,34.05536569,208704.4956,-437536.9097,0.0
060374028013,1142.0,1.7513,55926,0,0.2,5.481048584,0.243906096,22.73203023,4682.12979,-117.744519,34.05342916,208211.4968,-437763.5327,0.0996677740863787
060374028031,1410.0,6.383,70500,0,0.0,8.650741577,0.305238838,15.85861586,4619.33354,-117.7475143,34.04768358,207950.1832,-438407.2753,0.0259365994236311
060374028032,2157.0,3.6625,77656,0,0.444444444,8.245101929,0.325040244,17.84441386,6636.101336,-117.7432305,34.04800404,208344.7373,-438362.3326,0.0
060374028041,1752.0,7.8196,80625,0,-0.5,9.459274292,0.325816548,10.60674256,5377.2591,-117.7388643,34.04810909,208747.475,-438341.0779,0.0
060374028042,706.0,5.3824,57222,0,0.4625,9.315307617,0.523840165,8.341400649,1347.739343,-117.7297142,34.05018485,209586.5336,-438090.6965,0.0
060374029021,2103.0,14.9311,52574,0,-1.270833333,9.201705933,0.651659575,11.49779984,3227.145096,-117.7451452,34.04067484,208187.3451,-439179.3201,0.1984334203655352
060374029022,2264.0,19.1696,82605,0,-0.222222222,10.00030518,0.64899946,13.39417268,3488.446663,-117.7448872,34.03341315,208230.3202,-439984.0429,0.0520833333333333
060374029031,1361.0,18.4423,76136,0,-0.027777778,8.743988037,0.57889613,10.14732137,2351.026253,-117.7330863,34.04282315,209294.8156,-438914.5308,0.1702127659574468
060374029042,1733.0,7.1552,68214,0,0.0,36.56802368,1.456816542,14.33755468,1189.580122,-117.7367498,34.02428042,209005.7401,-440978.9057,0.0
060374030001,3382.0,10.8811,66544,0,-1.002083333,24.69000244,1.358711813,15.99456341,2489.122393,-117.7538837,34.03458422,207396.6915,-439873.8965,0.0748663101604278
060374030002,1213.0,12.0363,78571,0,1.0,12.38780212,0.293073577,18.29481773,4138.892396,-117.7629338,34.03970509,206547.7895,-439325.7691,0.0289389067524115
060374030003,2201.0,20.1272,102216,0,0.0,29.40840149,0.766629744,17.1538604,2871.007833,-117.7608982,34.04180219,206730.2079,-439088.7718,0.0919765166340508
060374033161,1699.0,35.1972,92488,0,-0.333333333,87.83106995,0.859626823,17.3430351,1976.439026,-117.8021299,34.03604973,202938.8771,-439815.7829,0.1541899441340782
060374033162,3274.0,18.9371,93606,0,0.0,92.96661377,1.088423846,15.00652845,3008.019358,-117.7909456,34.03103092,203984.3552,-440348.3494,0.0257633587786259
060374033163,2066.0,18.7803,121588,0,0.0,92.75375366,0.961980583,21.26132059,2147.652496,-117.8040541,34.02891952,202779.5603,-440610.6151,0.0
060374033173,1471.0,20.3263,110174,0,0.5,70.45367432,0.842649587,19.23376359,1745.684117,-117.7754238,34.02636409,205429.5285,-440832.3661,0.0400667779632721
060374033181,1446.0,23.7898,91491,0,1.0,69.6078949,0.588646393,15.21009076,2456.483242,-117.7682544,34.0376005,206062.1251,-439570.7382,0.0
060374033183,1919.0,27.2538,139444,0,0.5,41.36056519,0.714633494,14.91861383,2685.292555,-117.7744083,34.03446039,205502.2019,-439932.322,0.0196078431372549
060374033184,1063.0,20.6961,142344,0,0.147222222,93.14543152,1.404171934,18.13712643,757.0298011,-117.758272,34.0270472,207011.3348,-440719.3049,0.0960591133004926
060374033191,1484.0,20.8221,120893,0,-1.777777778,80.77593994,1.430231425,15.95413052,1037.594318,-117.8137025,34.01419712,201926.4099,-442263.8552,0.0
060374033192,2664.0,15.4279,76895,0,0.666666667,89.0017395,0.803849495,14.73821826,3314.05321,-117.8140456,34.0062298,201915.1052,-443148.1147,0.0
060374033201,2296.0,14.2857,133269,0,0.1875,156.2153625,2.329213018,6.525111434,985.7406697,-117.800534,34.00510945,203165.8256,-443243.4892,0.0178571428571428
060374033202,2925.0,27.6239,149408,0,1.0,105.1520996,1.587728244,10.75171128,1842.254814,-117.7901847,34.00533417,204121.0409,-443196.3394,0.0120481927710843
060374033211,3011.0,26.0046,119375,0,1.0,126.8157501,1.516986234,10.39506684,1984.856508,-117.798093,34.01819123,203357.5567,-441787.5663,0.0737073707370737
060374033212,2023.0,12.605,92153,0,0.9375,71.99407959,0.875816721,18.64193008,2309.844003,-117.8031621,34.0231377,202876.7777,-441249.8864,0.0046439628482972
060374033231,2129.0,15.4063,83750,0,-0.541666667,151.6239929,1.823606209,15.41463629,1167.466962,-117.8260925,34.00118748,200815.3568,-443732.8617,0.0288288288288288
060374033232,1779.0,12.8724,85577,0,0.5,80.19773865,0.747873677,14.50924183,2378.743971,-117.8249111,33.99237856,200946.8889,-444707.2046,0.0
060374033233,1643.0,14.1205,88333,0,0.266666667,64.08270264,0.596779509,16.98081917,2753.110615,-117.8163392,33.99761954,201725.277,-444107.817,0.0
060374033243,3510.0,16.1538,76333,0,0.333333333,140.258606,2.131055703,9.435632958,1647.070978,-117.8037787,33.99202458,202899.7762,-444701.4513,0.0
060374033244,618.0,26.2136,231875,0,1.0,151.0072632,2.795260535,5.148022002,221.0885148,-117.8105551,33.98243831,202298.3982,-445778.9644,0.0
060374033252,3429.0,13.065,116795,0,-0.005952381,264.8949585,15.87976661,1.865105917,215.9351635,-117.824424,33.95788765,201079.6661,-448530.8734,0.0267618198037466
060374034013,1972.0,27.4341,110446,0,0.0,74.28852844,0.963346221,13.30279462,2047.031439,-117.8743432,34.01802685,196317.0676,-441966.5149,0.03125
060374034021,1933.0,20.5898,89528,0,0.6,40.11381531,1.179043094,13.16899726,1639.465096,-117.8582217,34.01674184,197808.9488,-442075.5096,0.0265339966832504
060374034022,1359.0,11.9941,120183,0,1.0,19.62763977,0.558095193,14.89306891,2435.068458,-117.8510258,34.02070277,198463.4782,-441621.2182,0.0294117647058823
060374034031,2794.0,29.1696,152532,0,0.5,105.32547,1.651077093,9.763906271,1692.228674,-117.8328103,34.03583383,200107.068,-439904.9389,0.0107015457788347
060374034041,1222.0,19.3944,155938,0,0.75,102.2344818,1.564628625,8.966367886,781.0160061,-117.8506368,34.03017255,198475.5838,-440570.2333,0.0779220779220779
060374034081,883.0,31.5968,204250,0,1.0,44.19006348,0.389729407,15.16990443,2265.674552,-117.8836715,34.02868257,195429.3013,-440804.0943,0.0
060374034083,1849.0,23.3099,131100,0,0.619047619,64.62161255,0.944977824,14.48116854,1956.659672,-117.8884719,34.02413409,194997.3271,-441318.397,0.0434227330779054
060374034084,1160.0,18.0172,134292,0,1.0,48.02572632,0.491042763,12.94350912,2362.319714,-117.879137,34.02303545,195861.981,-441420.9904,0.0
